id,name,source,location,date
AY559081,Sin842,Human,Singapore,2003_04_02
AY559082,Sin852,Human,Singapore,2003_04_11
AY559085,Sin848,Human,Singapore,2003_04_05
AY559086,Sin849,Human,Singapore,2003_04_12
AY559093,Sin845,Human,Singapore,2003_04_07
AY559094,Sin846,Human,Singapore,2003_03_25
AY559095,Sin847,Human,Singapore,2003
AY559096,Sin850,Human,Singapore,2003_04_14
AY568539,GZ0401,Human,China_Guangdong_Guangzhou,2003_12_22
AY572034,civet007,Civet,China_Guangdong_Guangzhou_Xinyuan-market,2004_01_02
AY572035,civet010,Civet,China_Guangdong_Guangzhou_Xinyuan-market,2004_01_02
AY572036,civet014,Civet,China_Guangdong_Guangzhou_Xinyuan-market,2004_01_02
AY572037,civet019,Civet,China_Guangdong_Guangzhou_Xinyuan-market,2004_01_02
AY572038,civet020,Civet,China_Guangdong_Guangzhou_Xinyuan-market,2004_01_02
AY613947,GZ0402,Human,China_Guangdong_Guangzhou,2004_01_05
AY613948,PC4_13,Civet,China,2004_01_10
AY613949,PC4_136,Civet,China,2004_01_05
AY613950,PC4_227,Civet,China,2004_01_05
AY613951,PC4-127,Civet,China,2004
AY613952,PC4-205,Civet,China,2004
AY627044,PC4-115,Civet,China,2004
AY627045,PC4-137,Civet,China,2004
AY627046,PC4-145,Civet,China,2004
AY627047,PC4-199,Civet,China,2004
AY627048,PC4-241,Civet,China,2004
AY686863,A022,Civet,China_Guangdong_Guangzhou,2004_01
AY686864,B039,Civet,China_Guangdong_Guangzhou,2004_01
AY687354,A001,Civet,China_Guangdong_Guangzhou_Xinyuan-market,2004_01
AY687355,A013,Civet,China_Guangdong_Guangzhou_Xinyuan-market,2004_01
AY687356,A021,Civet,China_Guangdong_Guangzhou_Xinyuan-market,2004_01
AY687357,A030,Raccoon_Dog,China_Guangdong_Guangzhou_Xinyuan-market,2004_01
AY687358,A031,Raccoon_Dog,China_Guangdong_Guangzhou_Xinyuan-market,2004_01
AY687359,B012,Civet,China_Guangdong_Guangzhou_Xinyuan-market,2004_01
AY687360,B024,Civet,China_Guangdong_Guangzhou_Xinyuan-market,2004_01
AY687361,B029,Civet,China_Guangdong_Guangzhou_Xinyuan-market,2004_01
AY687362,B033,Civet,China_Guangdong_Guangzhou_Xinyuan-market,2004_01
AY687363,B039,Civet,China_Guangdong_Guangzhou_Xinyuan-market,2004_01
AY687364,B040,Civet,China_Guangdong_Guangzhou_Xinyuan-market,2004_01
AY687365,C013,Civet,China_Guangdong_Guangzhou_Xinyuan-market,2004_01
AY687366,C014,Civet,China_Guangdong_Guangzhou_Xinyuan-market,2004_01
AY687367,C017,Civet,China_Guangdong_Guangzhou_Xinyuan-market,2004_01
AY687368,C018,Civet,China_Guangdong_Guangzhou_Xinyuan-market,2004_01
AY687369,C019,Civet,China_Guangdong_Guangzhou_Xinyuan-market,2004_01
AY687370,C025,Civet,China_Guangdong_Guangzhou_Xinyuan-market,2004_01
AY687371,C028,Civet,China_Guangdong_Guangzhou_Xinyuan-market,2004_01
AY687372,C029,Civet,China_Guangdong_Guangzhou_Xinyuan-market,2004_01
AY687373,A022,Civet,China_Guangdong_Guangzhou_Xinyuan-market,2004_01
AY714217,CDC#200301157,Human,USA,2003
DQ182595,ZJ0301,Human,China,2003_04_21
DQ514528,ES188,Civet,China_Hubei,2003
DQ514529,ES191,Civet,China_Hubei,2003
DQ514530,ES260,Civet,China_Hubei,2003
